"Time (s) Run #1","Current (A) Run #1","Voltage (V) Run #1","ElectronCurrent (10^-10 A) Run #1"
23.400,1.736E-13,2.3,0.00
23.450,1.711E-13,2.3,0.00
23.500,1.858E-13,2.3,0.00
23.550,1.818E-13,2.3,0.00
23.600,1.780E-13,2.3,0.00
23.650,1.656E-13,2.4,0.00
23.700,1.735E-13,2.4,0.00
23.750,1.616E-13,2.4,0.00
23.800,1.644E-13,2.4,0.00
23.850,1.576E-13,2.4,0.00
23.900,1.631E-13,2.4,0.00
23.950,1.641E-13,2.4,0.00
24.000,1.660E-13,2.4,0.00
24.050,1.598E-13,2.4,0.00
24.100,1.586E-13,2.5,0.00
24.150,1.798E-13,2.5,0.00
24.200,1.587E-13,2.5,0.00
24.250,1.578E-13,2.5,0.00
24.300,1.554E-13,2.5,0.00
24.350,1.525E-13,2.5,0.00
24.400,1.477E-13,2.5,0.00
24.450,1.580E-13,2.5,0.00
24.500,1.620E-13,2.5,0.00
24.550,1.501E-13,2.5,0.00
24.600,1.476E-13,2.5,0.00
24.650,1.396E-13,2.5,0.00
24.700,1.497E-13,2.5,0.00
24.750,1.531E-13,2.5,0.00
24.800,1.497E-13,2.5,0.00
24.850,1.510E-13,2.5,0.00
24.900,1.530E-13,2.5,0.00
24.950,1.566E-13,2.6,0.00
25.000,1.654E-13,2.6,0.00
25.050,1.616E-13,2.6,0.00
25.100,1.591E-13,2.6,0.00
25.150,1.628E-13,2.6,0.00
25.200,1.537E-13,2.6,0.00
25.250,1.456E-13,2.6,0.00
25.300,1.580E-13,2.6,0.00
25.350,1.434E-13,2.6,0.00
25.400,1.455E-13,2.6,0.00
25.450,1.509E-13,2.6,0.00
25.500,1.510E-13,2.6,0.00
25.550,1.511E-13,2.6,0.00
25.600,1.427E-13,2.6,0.00
25.650,1.567E-13,2.6,0.00
25.700,1.503E-13,2.6,0.00
25.750,1.514E-13,2.6,0.00
25.800,1.547E-13,2.6,0.00
25.850,1.588E-13,2.6,0.00
25.900,1.536E-13,2.6,0.00
25.950,1.539E-13,2.7,0.00
26.000,1.537E-13,2.7,0.00
26.050,1.599E-13,2.7,0.00
26.100,1.606E-13,2.7,0.00
26.150,1.630E-13,2.7,0.00
26.200,1.608E-13,2.7,0.00
26.250,1.636E-13,2.7,0.00
26.300,1.550E-13,2.7,0.00
